"lsoa01","access01","access11","access01_exp","access11_exp"
"E01000034",652717,838631,7852.58160812726,9547.83307411594
"E01000035",685163,883098,8129.64264153781,9233.06493266572
"E01000036",697153,897438.03,8205.27041660729,8810.85285908887
"E01000037",568959,687948,9676.73254375319,11653.2900764658
"E01000038",588402,711626,9429.69515136951,12375.3582711739
"E01000039",578247,699570,8173.4121304182,9761.14310425545
"E01000040",1464911,1822653,9881.07540656758,11684.2001011947
"E01000041",1010779,1305184,7430.30276196419,9033.77901868252
"E01000042",1388302,1741700,8392.78410322238,10036.375914299
"E01000043",1475125,1829576,9713.79845757607,11380.5267277135
"E01000044",1579537,1956956,10977.8310425474,13089.4309532165
"E01000045",1318297,1653707,7751.19481010696,9369.7903782394
"E01000046",983245,1268897,7306.47975317972,8840.20630732714
"E01000047",1785348,2188227.28,12051.9478068094,15034.1254679856
"E01000048",1704931,2095878,11295.5651569859,13785.8560436802
"E01000049",1702358,2092615,10844.1389793979,13149.0297283839
"E01000050",1663057,2049957,11765.0423713791,14186.9284162046
"E01000051",1700924,2089637,12200.0944055616,14850.583894843
"E01000052",1552423,1929100,10606.3626741045,12460.6635466995
"E01000053",802478,1016707,8411.58580349383,8740.13552447805
"E01000054",881490,1126471,7371.63297308886,8590.78210729577
"E01000055",908635,1176460,7276.37270859715,8650.17703806948
"E01000056",849296,1083105,7664.54307505287,8559.35425855664
"E01000057",905280,1170636,7228.77787541025,8660.12000027107
"E01000058",841008,1072968,7576.09210940248,8715.05547024325
"E01000059",807638,1024925,8266.8573342759,8975.54111533456
"E01000060",688697,891422,8568.28484997069,10528.2591349632
"E01000061",679235,880792,8897.61639477936,11179.8074073946
"E01000062",706365,909410,8268.90179039028,9925.19451729506
"E01000063",715682,922869,8265.35001142009,10088.7309180584
"E01000064",687524,887145,8217.32209515534,9838.97167897506
"E01000065",743037,956049,8105.4769020425,9825.23116845292
"E01000066",1336632,1678864,8386.91285755601,10171.351842587
"E01000067",1403740,1748515,9138.75630221265,10881.3918252251
"E01000068",1529468,1902251,11055.6287111725,13199.7953035231
"E01000069",1424358,1774832,9410.19324703092,11129.3496980126
"E01000070",1506407,1873817,10378.2939747877,12314.9336877753
"E01000071",1422398,1773961,9455.98663331703,11202.7118326043
"E01000072",1022824,1320742.68,7529.48012605485,9164.91777285649
"E01000073",987456,1275221,7469.62932163664,9124.65389929195
"E01000074",940639,1215775.82,7263.26596056632,8927.73902843139
"E01000075",907952,1172787,7122.2591654502,8634.49890882984
"E01000076",971936,1257815.82,7220.17353350264,8809.63378965474
"E01000077",890686,1138455,7329.66845064415,9011.60051058897
"E01000078",822144,1053293,7603.94868333021,9337.19507824311
"E01000079",765465,982129,7741.31485646065,9176.41144876001
"E01000080",868425,1107744,7372.45027470627,8998.65697632887
"E01000081",779808,996050,7740.66016476087,9318.34532238828
"E01000082",761056,977315,7941.51327473973,9723.82143266623
"E01000083",857126,1092044,7574.81674021712,9366.0597050738
"E01000084",765776,980552,8442.59982184238,9235.32448144426
"E01000085",750501,961179,8973.82541157068,9402.42070867485
"E01000086",767438,981845,8833.21729318604,9312.17976803643
"E01000087",761380,973648,10363.3431868069,9947.77168522889
"E01000088",745425,950861,9152.99493388436,8919.71787091741
"E01000089",726405,930044,7702.67370580432,7270.5248414405
"E01000090",735035,937910,7680.38085721124,7077.84664375741
"E01000091",1388199,1727150.68,7409.79228854474,8801.25406614147
"E01000092",1573877,1955946,10609.8821415619,11985.7845245962
"E01000093",1474944,1832502,8904.81877507209,10280.7150407074
"E01000094",1313017,1646221,6866.96868480264,8222.36152332769
"E01000095",919972,1189691,7591.87734346801,8894.72002476464
"E01000096",1317787,1654575.02,7681.67488378508,9246.58143643813
"E01000097",781872,1004297,8279.28013329037,10209.9380540168
"E01000098",849332,1083224,8189.88012232855,10156.4278634669
"E01000099",767242,978931,8249.89961054718,10199.4266412458
"E01000100",732088,941216,8199.15591775014,10037.9515129803
"E01000101",714853,923891,8369.82584916278,10242.108611942
"E01000102",797913,1020092,7884.47117955436,9731.80762436492
"E01000103",693246,891590,6954.47848009,7128.82878299269
"E01000104",692050,889860,7031.96210662954,7405.25531568302
"E01000105",740471,948553,8668.63312779282,9242.08657223024
"E01000106",711838,914877,8132.90054850407,8659.27719291801
"E01000107",668196,858889,6127.52781819788,6634.51542171737
"E01000108",687379,885466,7389.02775362725,7934.78779587918
"E01000109",707485,912280,8450.52177912707,10173.0777917549
"E01000110",657421,850345.32,7661.54914218637,8953.53740978489
"E01000111",675609,870959,8572.82525346607,10126.8109167452
"E01000112",703912,906356,8223.57889272431,9765.53890130238
"E01000113",713480,921920,8174.83963761088,9787.29748976975
"E01000114",665540,861753,8684.90460154647,10579.2260075604
"E01000115",1850179,2185767,7071.67756001835,8527.23332065772
