"TTWA11NM","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_sq","work11","work11_sq","workdiff","workdiff_sq","geo04","geo10","geodiff","type"
"Eastbourne",221258,4,0.15779927212693,0.147960269072783,-0.00983900305414664,0.150668155828129,0.143529778395511,-0.00713837743261792,0.0113357203722018,0.0345641348257644,0.00835985757363744,0.0261516721312205,-0.00297586279856432,-0.00841246269454388,0.144235706795818,0.13900206052282,-0.00523364627299827,"inc"
"Basingstoke",219251,3,0.189621130637505,0.18572653318612,-0.0038945974513851,0.228170355480039,0.221549644775614,-0.00662071070442494,-0.130650402833837,0.0593219815768862,-0.126482594057912,0.0412511275065839,0.00416780877592515,-0.0180708540703023,0.253987565527027,0.209499348049725,-0.0444882174773014,"inc"
"Kettering and Wellingborough",218147.92,4,0.160676782971521,0.145949421573746,-0.0147273613977745,0.0532839890747354,0.0689327281166001,0.0156487390418647,0.0718269935688767,0.0875129709983469,0.0805466687472176,0.0522354246551231,0.00871967517834094,-0.0352775463432238,0.180992638197807,0.13097639916213,-0.0500162390356778,"inc"
"Chichester and Bognor Regis",216092,4,0.143283028008319,0.136720471097902,-0.00656255691041707,0.108615954479873,0.104131558364102,-0.00448439611577101,-0.0118454089167059,0.0521560496279108,-0.00627993426937223,0.0449927392135976,0.0055654746473337,-0.00716331041431317,0.18257552998071,0.186702908238665,0.00412737825795517,"inc"
"Merthyr Tydfil",210158.6762,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Bedford",204833,4,0.279938615899056,0.237490493972025,-0.0424481219270305,0.281627433759105,0.240159297689154,-0.0414681360699518,-0.0912291256076685,0.137408288991303,-0.073529172290641,0.0716635009872704,0.0176999533170275,-0.0657447880040323,0.1796204534539,0.146622310051264,-0.0329981434026365,"inc"
"Chesterfield",204462,2,0.0993908174935783,0.0759747639622574,-0.0234160535313208,0.100300740004585,0.079439409930778,-0.0208613300738065,0.162452503931839,0.00747145687807205,0.145654119108386,-0.0151392345036356,-0.0167983848234527,-0.0226106913817077,0.158987444808744,0.120461457857452,-0.0385259869512922,"inc"
"Telford",196228,3,0.199516941420448,0.197798331728698,-0.00171860969174986,0.198892869041458,0.196428530240482,-0.00246433880097641,0.0670531262624365,-0.0443436454675918,0.0618163487472927,-0.0621424187984232,-0.00523677751514384,-0.0177987733308314,0.180520565030847,0.17553885478835,-0.00498171024249672,"inc"
"Colchester",195871,2,0.150565519972844,0.144053122830783,-0.00651239714206042,0.150608532015113,0.144085182346913,-0.00652334966819978,-0.101035669020725,-0.0953455368885443,-0.0893620784776203,-0.0550043048023241,0.0116735905431042,0.0403412320862202,0.171984840198611,0.161551688118529,-0.0104331520800827,"inc"
"Halifax",187314,4,0.176186627494097,0.167049809892632,-0.00913681760146545,0.177243472603486,0.167792253326333,-0.0094512192771532,0.00215606932452772,0.0291366706710576,0.00283000505344688,0.0384730388753454,0.000673935728919162,0.00933636820428774,0.23155738052175,0.221970391964945,-0.00958698855680495,"inc"
