"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"Coventry",545011,0.124,0.101,-0.023,0.085,0.037,-0.048,0.153,0.167,0.014,"jsa"
"Southend",522391,0.204,0.166,-0.038,0.107,0.065,-0.042,0.092,0.099,0.008,"jsa"
"Portsmouth",502587,0.145,0.161,0.015,0.086,0.072,-0.014,0.185,0.157,-0.028,"jsa"
"Oxford",500791,0.26,0.129,-0.131,0.007,-0.051,-0.058,0.203,0.155,-0.048,"jsa"
"Reading",498483,0.265,0.244,-0.021,0.16,0.083,-0.077,0.232,0.19,-0.042,"jsa"
"Dudley",494975,0.061,0.038,-0.023,0.129,0.105,-0.024,0.127,0.115,-0.012,"jsa"
"Bradford",488469,0.233,0.15,-0.083,0.143,0.096,-0.047,0.191,0.114,-0.078,"jsa"
"Stoke-on-Trent",486556,0.155,0.206,0.051,0.058,0.079,0.021,0.195,0.19,-0.005,"jsa"
"Hull",468806,0.243,0.285,0.042,0.071,0.017,-0.054,0.198,0.182,-0.016,"jsa"
"Middlesbrough and Stockton",442403,0.181,0.19,0.009,0.15,0.136,-0.013,0.181,0.23,0.048,"jsa"
"Chelmsford",434334,-0.021,0.035,0.056,0.006,-0.052,-0.058,0.071,0.126,0.055,"jsa"
"Norwich",420377,0.239,0.196,-0.043,0.149,0.106,-0.043,0.217,0.212,-0.005,"jsa"
"Derby",392072,0.305,0.269,-0.036,0.216,0.155,-0.061,0.294,0.254,-0.04,"jsa"
"Preston",380329,0.204,0.164,-0.04,0.102,0.073,-0.029,0.276,0.208,-0.068,"jsa"
"Exeter",379131,0.11,0.122,0.012,0.092,0.089,-0.002,0.171,0.227,0.056,"jsa"
"High Wycombe and Aylesbury",366185.64,0.25,0.21,-0.04,0.068,0.028,-0.041,0.193,0.156,-0.037,"jsa"
"Swansea",361132,0.09,0.072,-0.018,0.061,0.032,-0.028,NA,NA,NA,"jsa"
"Sunderland",356093,0.081,0.061,-0.02,0.036,0.035,-0.001,0.147,0.12,-0.027,"jsa"
"Huddersfield",342774,0.226,0.197,-0.029,0.127,0.068,-0.059,0.177,0.106,-0.072,"jsa"
"Swindon",339470,0.246,0.263,0.016,0.028,-0.009,-0.037,0.233,0.203,-0.03,"jsa"
"Ipswich",339226,0.242,0.268,0.026,0.082,0.052,-0.03,0.214,0.226,0.013,"jsa"
"Stevenage and Welwyn Garden City",331554,0.107,0.109,0.002,0.028,-0.023,-0.051,0.145,0.16,0.015,"jsa"
"Milton Keynes",327798.36,0.193,0.211,0.018,0.065,0.032,-0.033,0.188,0.202,0.014,"jsa"
"Plymouth",320473,0.287,0.263,-0.024,0.145,0.112,-0.034,0.222,0.251,0.029,"jsa"
"Lincoln",315686,0.076,0.096,0.02,0.077,0.052,-0.025,0.221,0.231,0.01,"jsa"
"Bournemouth",315544,0.258,0.242,-0.016,0.188,0.16,-0.028,0.215,0.198,-0.018,"jsa"
"Birkenhead",311401,0.255,0.262,0.008,0.167,0.159,-0.007,0.163,0.175,0.013,"jsa"
"Peterborough",307801,0.32,0.27,-0.05,0.056,0.045,-0.01,0.215,0.184,-0.032,"jsa"
"Wakefield and Castleford",305847,-0.002,0.032,0.034,0.005,0.004,0,0.127,0.134,0.007,"jsa"
"Brighton",305381,0.33,0.134,-0.196,0.244,0.085,-0.159,0.261,0.108,-0.153,"jsa"
"York",304726,0.146,0.092,-0.054,0.033,-0.022,-0.055,0.162,0.185,0.023,"jsa"
"Blackburn",304166,0.222,0.134,-0.088,0.086,0.056,-0.03,0.223,0.218,-0.005,"jsa"
"Northampton",299245.08,0.194,0.211,0.017,0.139,0.054,-0.084,0.248,0.22,-0.028,"jsa"
"Newport",289453,0.152,0.141,-0.011,-0.007,-0.014,-0.007,NA,NA,NA,"jsa"
"Worcester and Kidderminster",283517,0.169,0.144,-0.026,0.012,0.007,-0.005,0.195,0.237,0.042,"jsa"
"Chester",277998,0.052,0.1,0.048,0.068,0.041,-0.027,NA,NA,NA,"jsa"
